Maytag 7.0 cu. ft. GAS Dryer with Wrinkle Prevent Phase,Maytag,--,"['Wrinkle Prevent Phase', 'End of Cycle Signal', '7.0 cu. ft. Capacity', 'Reversible Door']",Item  1757259,Model  MGD4500MW
Whirlpool 7.0 cu. ft. Front Load Electric Dryer with AutoDry Drying System,Whirlpool,--,"['Wrinkle Shield Option', 'Hamper Door', '7.0 Cu. Ft. Capacity', '3 Drying Temperatures']",Item  1454381,Model  WED4950HW
LG 5.2 cu. ft. Mega Capacity Smart Wi-Fi Enabled Front Load Washer with TurboWash and Built-In Intelligence,LG,--,"['TurboWash® Technology', 'Built-In Intelligence (AI Fabric Sensor / Smart Pairing™)', 'AAFA Certified LG Washer', 'ColdWash™ Technology', 'ThinQ® Technology with Proactive Customer Care']",Item  1708409,Model  WM8900HBA
Samsung Bespoke Single Unit AI Laundry Hub 4.6 cu. ft. Washer with 7.6 cu. ft. GAS Dryer in Brushed Black,Samsung,--,"[""2-year Manufacturer's Warranty"", 'AI Laundry Hub™ with Easy Reach Control Panel - Control Both the Washer and Dryer from the Easy Reach Control Panel', 'AI OptiWash™ & AI Optimal Dry Detects Soil Level and Fabrics, and Adjusts Settings as Needed During the Cycle¹', 'Flex Auto Dispense System - Automatically Dispense Up To 34 Loads of Detergent', 'Super Speed Wash & Dry - Wash And Dry a Full Load In Just 58 Minutes³']",Item  1805406,Model  WH46DBH500GV
LG 4.3 cu. ft. Top Load Washer with 4-Way Agitator and TurboDrum Technology,LG,--,"['TurboDrum™ & 6Motion™ Technology', 'SmartDiagnosis™', 'Deep Fill Option', 'ColdWash™ Technology']",Item  1731774,Model  WT7005CW
Samsung 7.2 cu. ft. ELECTRIC Dryer with Sensor Dry and 8 Drying Cycles,Samsung,--,"[""2-year Manufacturer's Warranty"", 'Sensor Dry - Helps Prevent Over drying for Optimal Fabric Care.', '8 Preset Drying Cycles - More Cycles to Best Suit Your Drying Needs.', 'Reversible Dryer Door - Choose the Direction Your Dryer Door Opens.', 'Lint Filter Indicator - the Filter Check Indicator Light Lets You Know When It Is Time to Clean the Filter.']",Item  1751676,Model  DVE41A3000W
GE 4.6 cu. ft. Capacity Washer with Stainless Steel Basket and 7.2 cu. ft. Capacity ELECTRIC Dryer,GE Appliances,--,"['Wash Boost', 'High Performance Impeller', 'Water Level Control', 'Extended Tumble', 'Powerful Venting & Flexible Installation']",Item  V100333,Model  GTW480ASWWB | GTD48EASWWB
GE 4.5 cu. ft. Washer with Stainless Steel Basket and 7.2 cu. ft. ELECTRIC Dryer Package with 120 ft. Venting,GE Appliances,--,"['Cold Plus and Wash Boost', 'Water Level Control', 'Powerful Venting and Flexible Installation', 'Large Diffuser for Even Drying', 'Extended Tumble']",Item  V100328,Model  GTW485ASWWB | GTD48EASWWB
Whirlpool 1.6 cu. ft. Washer and 3.4 cu. ft. Dryer ELECTRIC Laundry Center,Whirlpool,--,"['Smooth Wave Stainless Steel Wash Basket', 'EasyView™ Glass Lid with Slow-Close Technology', 'Impeller', '4 Drying Cycles']",Item  1299208,Model  WET4024HW
Maytag 4.5 cu. ft. Front Load Washer with 12 Hour Fresh Spin Option,Maytag,--,"['Extra Power Button', '12 Hr Fresh Spin™ Option', 'Quick Wash Cycle', 'Steam Option']",Item  1326346,Model  MHW5630HW
Frigidaire ELECTRIC Washer/Dryer Laundry Center - 3.9 Cu. Ft. Washer and 5.5 Cu. Ft. Dryer,Frigidaire,--,"['MaxFill™', 'Quieter Clean with Quiet Pack', '10 Different Wash Cycles', '6 Different Dry Cycles', 'End-of-Cycle Signal']",Item  1811877,Model  FLCE7522AW
Maytag 7.0 cu. ft. ELECTRIC Front Load Dryer with Moisture Sensing,Maytag,--,"['Wrinkle Control Cycle', '7.0 cu. ft. with Drum Light', 'Quick Dry Cycle', 'Wrinkle Prevent Option']",Item  1491084,Model  MED6200KW
Whirlpool 4.6 cu. ft. Top Load Impeller Washer with Built-in Faucet,Whirlpool,--,"['Presoak Option', 'Extra Rinse Option', 'Quick Wash Cycle', 'Deep Water Wash Option']",Item  1426095,Model  WTW5010LW
Whirlpool 7.4 cu. ft. Front Load GAS Dryer with Advanced Moisture Sensing,Whirlpool,--,"['Dryer Rack', 'EcoBoost™ Option', 'Wrinkle Shield™ Plus Option with Steam']",Item  1426107,Model  WGD8127LW
Whirlpool 5.3 cu. ft. Top Load Washer with 2 in 1 Removable Agitator in White,Whirlpool,--,"['Load & Go™ Dispenser', 'Pretreat Station Plus', 'Delay Start option', 'Schedule Wash Cycle']",Item  1426103,Model  WTW8127LW
Whirlpool 4.8 cu. ft. Top Load Washer with Removable Agitator,Whirlpool,--,"['2-in-1 Removable Agitator', 'Deep Water Wash Option', 'EasyView™ Slow-Close Glass Lid', '360 Wash Agitator Option']",Item  1426087,Model  WTW5057LW
GE 7.2 cu. ft. Capacity GAS Dryer with up to 120 ft. Venting and Extended Tumble,GE Appliances,--,[],Item  2153034,Model  GTD48GASWWB
LG 9.0 cu. ft. Mega Capacity Smart Wi-Fi Enabled Front Load ELECTRIC Dryer with TurboSteam and Built-In Intelligence,LG,--,"['TurboSteam™ Technology', 'ThinQ® Technology', 'FlowSense™ Duct Clogging & Lint Filter Indicators', 'Built-In Intelligence (AI Fabric Sensor / Smart Pairing™)']",Item  1622967,Model  DLEX8980V
